Iteration,Discriminator Loss,Generator Loss
3730,1.340748,0.671655
3740,1.348457,0.654488
3750,1.180833,0.657845
3760,1.358442,0.605692
3770,1.302828,0.479492
3780,1.328311,0.530775
3790,1.326348,0.523655
3800,1.290318,0.679554
3810,1.315175,0.643945
3820,1.346045,0.571976
3830,1.371624,0.619983
3840,1.249246,0.532229
3850,1.287876,0.803599
3860,1.335366,0.646656
3870,1.342130,0.666689
3880,1.307580,0.772032
3890,1.335317,0.661299
3900,1.338277,0.564572
3910,1.395867,0.615917
3920,1.265739,0.520432
3930,1.259398,0.697991
3940,1.222323,0.485776
3950,1.268017,0.581393
3960,1.347485,0.548842
3970,1.319769,0.591351
3980,1.257282,0.488125
3990,1.332002,0.502500
4000,1.358829,0.574187
4010,1.294054,0.720064
4020,1.306089,0.465583
4030,1.310147,0.517084
4040,1.324124,0.616084
4050,1.308020,0.571499
4060,1.320049,0.576718
4070,1.216910,0.673450
4080,1.356171,0.588414
4090,1.373558,0.506197
4100,1.353718,0.617181
4110,1.329667,0.477084
4120,1.209859,0.679687
4130,1.248947,0.595210
4140,1.212317,0.740210
4150,1.196414,0.636326
4160,1.237522,0.691440
4170,1.261283,0.548665
4180,1.312683,0.537189
4190,1.355471,0.499343
4200,1.308215,0.540613
4210,1.189956,0.679935
4220,1.318497,0.578119
4230,1.348891,0.583749
4240,1.317836,0.568581
4250,1.393728,0.541899
4260,1.331338,0.790411
4270,1.254107,0.783285
4280,1.341150,0.456024
4290,1.219409,0.581394
4300,1.310271,0.569123
4310,1.352275,0.659820
4320,1.268830,0.482653
4330,1.331961,0.845221
4340,1.322887,0.579372
4350,1.346549,0.759622
4360,1.352017,0.477400
4370,1.279192,0.743559
4380,1.305266,0.598225
4390,1.331933,0.557063
4400,1.300276,0.677358
4410,1.258343,0.650783
4420,1.278795,0.622917
4430,1.211042,0.622781
4440,1.318879,0.544165
4450,1.284804,0.642797
4460,1.309628,0.544931
4470,1.322027,0.541017
4480,1.341560,0.800456
4490,1.326435,0.589695
4500,1.359147,0.589205
4510,1.252298,0.609934
4520,1.309670,0.778326
4530,1.325800,0.596788
4540,1.371455,0.529146
4550,1.316206,0.551717
4560,1.347959,0.551655
4570,1.301238,0.567037
4580,1.291003,0.682737
4590,1.296792,0.794489
4600,1.283239,0.566248
4610,1.318868,0.582617
4620,1.288616,0.679577
4630,1.321901,0.567888
4640,1.280229,0.724069
4650,1.281157,0.529176
4660,1.142921,0.783199
4670,1.248861,0.487429
4680,1.319066,0.740660
4690,1.228512,0.513195
4700,1.338601,0.598307
4710,1.295828,0.653995
4720,1.314040,0.616471
4730,1.314534,0.590359
4740,1.226141,0.522154
4750,1.213476,0.649341
4760,1.213859,0.493884
4770,1.237409,0.522973
4780,1.230516,0.582249
4790,1.224965,0.586121
4800,1.142140,0.557249
4810,1.214855,0.544039
4820,1.278892,0.521403
4830,1.186937,0.568215
4840,1.215874,0.537929
4850,1.312494,0.630687
4860,1.359260,0.579893
4870,1.342880,0.568282
4880,1.232522,0.583642
4890,1.177624,0.484747
4900,1.234022,0.583294
4910,1.243361,0.736159
4920,1.297627,0.575744
4930,1.319263,0.637570
4940,1.320751,0.515833
4950,1.292385,0.760210
4960,1.324195,0.495344
4970,1.283578,0.760409
4980,1.242651,0.583145
4990,1.299581,0.549989
5000,1.255293,0.580361
5010,1.319000,0.715276
5020,1.187047,0.550858
5030,1.205197,0.582933
5040,1.227952,0.592859
5050,1.346035,0.618061
5060,1.293187,0.630196
5070,1.335039,0.519872
5080,1.288905,0.570520
5090,1.302801,0.659269
5100,1.311196,0.625074
5110,1.287909,0.547194
5120,1.286278,0.598177
5130,1.298221,0.611735
